word         title         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22         23        24        25        26        27        28        29        30        31        32        33        34        35        36        37    38        39        40        41        42        43        44        45        46        47        48        49        50        51        52         53        54        55        56        57        58    59        60        61    62    63        64
garden    0.676471  0.188596  0.12549   0.266667  0.352941  0.198529  0.210526  0.214286  0.145833  0.15      0.111111  0.111111  0.21345   0.122549  0.205556  0.343137  0.229167  0.129167  0.111111  0.375     0.198529  0.165643  0.1125    0.222222   0.15      0.222222  0.397436  0.206933  0.259804  0.232026  0.352941  0.225026  0.352941  0.133333  0.121324  0.266667  0.183824  0.179567     0  0.333333  0.301961  0.138889  0.229167  0.283333  0.117647  0.125     0.117647  0.533333  0.125     0.125327  0.129167  0.138095  0.325     0.3        0.238971  0.233333  0.129167  0.333333  0.15         0  0.285714  0.333333     0     0  0.25
bed       0.368421  0.411765  0.118056  0.25      0.444444  0.216604  0.2       0.24058   0.135747  0.139423  0.105263  0.105263  0.243108  0.115468  0.338346  0.477778  0.321981  0.121324  0.105263  0.705882  0.216604  0.155882  0.106443  0.285714   0.139423  0.210526  0.477444  0.224011  0.287449  0.274854  0.421053  0.459096  0.444444  0.125     0.114379  0.25      0.173203  0.27037      0  0.526316  0.229167  0.129555  0.258824  0.410714  0.111111  0.117647  0.111111  0.470395  0.117647  0.117919  0.121324  0.129167  0.367647  0.380952   0.281046  0.258741  0.121324  0.4       0.139423     0  0.347826  0.4          0     0  0.276923
night     0.15      0.451923  0.380952  0.363636  0.142857  0.253358  0.125     0.244318  0.264957  0.611111  0.266667  0.266667  0.204762  0.347985  0.392157  0.148352  0.220513  0.320513  0.266667  0.153846  0.300977  0.30711   0.271493  0.0833333  0.277778  0.133333  0.166667  0.279332  0.194444  0.204762  0.166667  0.22336   0.142857  0.333333  0.296703  0.166667  0.21978   0.267857     0  0.133333  0.238095  0.244444  0.230769  0.240642  0.285714  0.615385  0.285714  0.15      0.307692  0.360195  0.403846  0.772727  0.160256  0.117647   0.456044  0.177778  0.551282  0.153846  0.277778     0  0.125     0.153846     0     0  0.188034
things    0.15      0.246795  0.309524  0.461538  0.142857  0.253358  0.125     0.244318  0.495726  0.277778  0.266667  0.266667  0.204762  0.300366  0.192157  0.148352  0.451282  0.551282  0.266667  0.153846  0.253358  0.339744  0.271493  0.0833333  0.277778  0.133333  0.166667  0.279332  0.194444  0.204762  0.166667  0.187646  0.142857  0.333333  0.296703  0.166667  0.21978   0.220238     0  0.133333  0.238095  0.244444  0.230769  0.289593  0.285714  0.307692  0.571429  0.15      0.769231  0.308913  0.551282  0.348485  0.160256  0.117647   0.225275  0.177778  0.320513  0.153846  0.277778     0  0.125     0.153846     0     0  0.188034
lie       0.139423  0.229692  0.287179  0.333333  0.133333  0.235409  0.117647  0.392157  0.242857  0.253846  0.25      0.25      0.191667  0.326984  0.180556  0.138095  0.205357  0.373626  0.25      0.142857  0.235409  0.284781  0.325397  0.08       0.253846  0.125     0.153409  0.257631  0.176923  0.191667  0.153846  0.173856  0.133333  0.307692  0.27619   0.153846  0.204762  0.206536     0  0.125     0.374359  0.225     0.214286  0.222222  0.266667  0.285714  0.266667  0.139423  0.285714  0.286691  0.296703  0.320513  0.148352  0.111111   0.209524  0.1625    0.296703  0.142857  0.253846     0  0.117647  0.142857     0     0  0.171429
away      0.183333  0.184615  0.20202   0.25      0.181818  0.193939  0.153846  0.196429  0.35      0.361111  0.166667  0.166667  0.166667  0.193939  0.154762  0.181818  0.183333  0.211111  0.166667  0.2       0.193939  0.201282  0.171429  0.0952381  0.361111  0.166667  0.22619   0.216667  0.35      0.174242  0.2       0.24463   0.181818  0.222222  0.190909  0.222222  0.190909  0.16317      0  0.166667  0.20202   0.333333  0.190909  0.196429  0.181818  0.2       0.181818  0.194444  0.2       0.201347  0.211111  0.236111  0.211111  0.142857   0.190909  0.326923  0.211111  0.181818  0.361111     0  0.142857  0.181818     0     0  0.340909
sea       0.324675  0.2       0.167832  0.363636  0.307692  0.22805   0.266667  0.233333  0.208333  0.215909  0.142857  0.142857  0.225275  0.162393  0.196429  0.320513  0.22619   0.174242  0.142857  0.333333  0.22805   0.221212  0.145833  0.173913   0.215909  0.285714  0.365079  0.243434  0.306818  0.225275  0.363636  0.230128  0.307692  0.181818  0.160256  0.727273  0.24359   0.184615     0  0.285714  0.244755  0.196429  0.25      0.306818  0.153846  0.166667  0.153846  0.324675  0.166667  0.167444  0.174242  0.190909  0.348485  0.25       0.237179  0.267857  0.174242  0.333333  0.215909     0  0.266667  0.333333     0     0  0.291667
far       0.130252  0.214815  0.267857  0.461538  0.125     0.219841  0.111111  0.209402  0.224242  0.233766  0.235294  0.235294  0.180147  0.261111  0.170279  0.129167  0.192157  0.27619   0.235294  0.133333  0.219841  0.316809  0.238596  0.0769231  0.233766  0.117647  0.142157  0.239072  0.162338  0.180147  0.142857  0.162048  0.125     0.285714  0.258333  0.142857  0.191667  0.268519     0  0.117647  0.205357  0.208556  0.2       0.283401  0.25      0.266667  0.25      0.130252  0.266667  0.350794  0.27619   0.296703  0.138095  0.105263   0.195833  0.149733  0.27619   0.133333  0.376623     0  0.111111  0.133333     0     0  0.157576
sing      0.12549   0.125926  0.133929  0.153846  0.125     0.130556  0.111111  0.129555  0.177778  0.18254   0.117647  0.117647  0.117647  0.130556  0.111455  0.125     0.12549   0.138095  0.117647  0.133333  0.130556  0.132764  0.119298  0.0769231  0.18254   0.117647  0.142157  0.140171  0.177778  0.121324  0.133333  0.140899  0.125     0.142857  0.129167  0.142857  0.129167  0.115741     0  0.117647  0.133929  0.169935  0.129167  0.129555  0.125     0.133333  0.125     0.130252  0.133333  0.13373   0.138095  0.148352  0.138095  0.105263   0.129167  0.166667  0.138095  0.125     0.18254      0  0.105263  0.125        0     0  0.173611
home      0.398693  0.188596  0.12549   0.266667  0.352941  0.198529  0.210526  0.214286  0.145833  0.15      0.111111  0.111111  0.21345   0.122549  0.205556  0.343137  0.229167  0.129167  0.111111  0.375     0.198529  0.165643  0.1125    0.222222   0.15      0.222222  0.397436  0.206933  0.259804  0.232026  0.352941  0.225026  0.352941  0.133333  0.121324  0.266667  0.183824  0.179567     0  0.333333  0.419608  0.138889  0.229167  0.283333  0.117647  0.125     0.117647  0.422222  0.125     0.125327  0.129167  0.138095  0.325     0.3        0.238971  0.233333  0.129167  0.333333  0.15         0  0.285714  0.333333     0     0  0.25
